accX,accY,accZ,gyroX,gyroY,gyroZ,label
89.18,-8.42,938.67,-3850.0,-8470.0,-2730.0,waving
81.5,-7.56,940.74,10500.0,-13440.0,490.0,waving
75.27,-7.38,944.95,5740.0,-10570.0,3640.0,waving
70.33,-6.95,951.17,910.0,-11060.0,7070.0,waving
65.57,-6.04,954.96,-420.0,-1330.0,3080.0,waving
61.55,-5.12,958.01,-560.0,-1470.0,4690.0,waving
58.07,-4.15,961.05,-490.0,-910.0,140.0,waving
54.6,-3.17,963.92,0.0,1190.0,-1330.0,waving
51.42,-2.44,966.48,-280.0,210.0,70.0,waving
48.49,-1.65,968.86,-280.0,70.0,70.0,waving
45.75,-0.92,971.12,-280.0,140.0,70.0,waving
43.19,-0.24,973.32,-280.0,140.0,70.0,waving
40.81,0.37,975.33,-280.0,140.0,70.0,waving
38.49,0.98,977.22,-280.0,70.0,0.0,waving
36.36,1.52,978.99,-280.0,140.0,0.0,waving
34.4,2.01,980.64,-280.0,140.0,70.0,waving
32.51,2.5,982.22,-280.0,140.0,70.0,waving
30.81,2.99,983.62,-280.0,140.0,70.0,waving
29.16,3.42,985.03,-280.0,140.0,70.0,waving
27.57,3.78,986.31,-280.0,140.0,280.0,waving
26.23,4.09,987.53,-280.0,140.0,70.0,waving
24.89,4.51,988.63,-280.0,70.0,70.0,waving
23.61,4.82,989.66,-280.0,140.0,140.0,waving
22.39,5.18,990.7,-280.0,140.0,70.0,waving
21.23,5.49,991.55,-280.0,140.0,70.0,waving
20.25,5.67,992.47,-280.0,70.0,0.0,waving
19.28,6.04,993.26,-280.0,70.0,70.0,waving
18.36,6.22,993.99,-280.0,70.0,70.0,waving
17.45,6.47,994.73,-280.0,140.0,0.0,waving
16.65,6.65,995.34,-280.0,140.0,70.0,waving
15.86,6.89,996.01,-280.0,70.0,0.0,waving
15.19,7.01,996.56,-280.0,70.0,0.0,waving
14.52,7.26,997.04,-350.0,70.0,0.0,waving
13.91,7.44,997.53,-350.0,140.0,0.0,waving
13.36,7.5,998.08,-280.0,140.0,70.0,waving
12.75,7.69,998.51,-280.0,140.0,70.0,waving
12.26,7.75,998.88,-280.0,140.0,70.0,waving
11.77,7.93,999.24,-280.0,140.0,70.0,waving
11.28,7.99,999.61,-280.0,140.0,70.0,waving
10.8,8.05,999.97,-280.0,140.0,70.0,waving
10.43,8.17,1000.22,-280.0,140.0,0.0,waving
10.0,8.3,1000.52,-280.0,70.0,70.0,waving
9.64,8.42,1000.77,-280.0,70.0,0.0,waving
9.33,8.42,1001.07,-280.0,70.0,0.0,waving
9.03,8.54,1001.32,-280.0,140.0,0.0,waving
8.78,8.6,1001.56,-280.0,70.0,0.0,waving
8.48,8.66,1001.74,-280.0,70.0,0.0,waving
8.23,8.72,1001.99,-280.0,70.0,0.0,waving
7.99,8.78,1002.11,-280.0,70.0,0.0,waving
7.75,8.85,1002.23,-280.0,70.0,0.0,waving
7.56,8.85,1002.41,-280.0,70.0,0.0,waving
7.38,8.91,1002.54,-280.0,140.0,0.0,waving
7.26,8.97,1002.72,-280.0,140.0,0.0,waving
7.08,9.03,1002.84,-280.0,140.0,0.0,waving
6.89,9.03,1002.96,-280.0,140.0,0.0,waving
6.71,9.09,1003.08,-280.0,140.0,0.0,waving
6.65,9.09,1003.21,-280.0,140.0,0.0,waving
6.47,9.15,1003.27,-280.0,70.0,0.0,waving
