@relation imu_motion_train_raw

@attribute gyro_x numeric
@attribute gyro_y numeric
@attribute gyro_z numeric
@attribute mag_x numeric
@attribute mag_y numeric
@attribute mag_z numeric
@attribute acc_x numeric
@attribute acc_y numeric
@attribute acc_z numeric
@attribute label {cross,rotate_wrist,up_down}

@data
27.212000,-52.132000,28.070000,-13.300000,-36.300000,-62.100000,-0.481000,-0.124000,-0.020000,cross
27.702000,-53.725000,28.175000,-12.600000,-35.800000,-63.100000,-0.494000,-0.125000,0.020000,cross
27.860000,-54.810000,29.925000,-12.400000,-36.300000,-63.400000,-0.490000,-0.150000,0.059000,cross
20.177000,-57.662000,32.742000,-11.800000,-36.400000,-62.800000,-0.452000,-0.079000,0.119000,cross
13.160000,-60.357000,32.742000,-11.700000,-36.600000,-62.800000,-0.433000,-0.043000,0.131000,cross
6.702000,-64.505000,32.410000,-10.900000,-36.300000,-63.400000,-0.440000,0.028000,0.136000,cross
1.732000,-69.317000,29.802000,-10.200000,-36.900000,-63.700000,-0.462000,0.106000,0.172000,cross
0.647000,-73.797000,26.145000,-9.400000,-37.000000,-63.700000,-0.472000,0.127000,0.234000,cross
4.690000,-76.282000,24.377000,-9.300000,-36.600000,-63.900000,-0.470000,0.125000,0.330000,cross
12.477000,-76.475000,25.900000,-8.400000,-37.300000,-64.200000,-0.457000,0.098000,0.430000,cross
29.680000,-74.182000,42.122000,-7.200000,-37.000000,-64.000000,-0.505000,0.061000,0.568000,cross
38.727000,-74.865000,49.997000,-5.800000,-37.800000,-64.500000,-0.548000,0.114000,0.600000,cross
45.990000,-76.895000,55.002000,-6.000000,-37.200000,-64.300000,-0.551000,0.105000,0.658000,cross
52.745000,-75.530000,63.752000,-4.500000,-37.900000,-64.900000,-0.643000,0.102000,0.715000,cross
57.050000,-71.925000,69.772000,-3.900000,-38.400000,-64.500000,-0.722000,0.166000,0.693000,cross
54.985000,-70.297000,70.647000,-3.300000,-38.500000,-64.300000,-0.686000,0.150000,0.727000,cross
48.440000,-68.092000,71.242000,-2.500000,-39.000000,-64.500000,-0.593000,0.068000,0.797000,cross
20.405000,-62.790000,76.772000,-1.300000,-38.800000,-64.200000,-0.550000,0.091000,0.732000,cross
8.522000,-63.157000,78.190000,-0.600000,-38.700000,-64.500000,-0.577000,0.165000,0.645000,cross
1.942000,-66.745000,77.175000,0.100000,-39.000000,-63.600000,-0.634000,0.305000,0.550000,cross
0.105000,-73.360000,70.892000,1.500000,-38.100000,-63.900000,-0.661000,0.429000,0.503000,cross
3.307000,-80.535000,63.945000,1.800000,-38.400000,-64.300000,-0.628000,0.429000,0.528000,cross
11.077000,-85.417000,61.127000,2.700000,-37.500000,-64.200000,-0.597000,0.430000,0.557000,cross
20.790000,-89.740000,59.815000,4.300000,-38.200000,-63.000000,-0.557000,0.416000,0.610000,cross
37.012000,-97.107000,64.592000,4.900000,-38.400000,-64.000000,-0.479000,0.275000,0.839000,cross
39.970000,-99.172000,71.540000,6.100000,-38.400000,-63.400000,-0.507000,0.232000,0.915000,cross
37.887000,-101.080000,76.755000,7.000000,-38.500000,-62.100000,-0.550000,0.237000,1.001000,cross
31.745000,-101.255000,78.330000,8.500000,-38.100000,-61.300000,-0.566000,0.252000,1.104000,cross
21.962000,-97.685000,78.365000,9.300000,-38.500000,-61.300000,-0.595000,0.293000,1.177000,cross
9.957000,-91.490000,76.247000,11.400000,-38.200000,-60.600000,-0.643000,0.375000,1.184000,cross
-0.770000,-84.682000,71.137000,11.700000,-38.400000,-60.400000,-0.680000,0.458000,1.142000,cross
-10.552000,-79.660000,56.787000,11.500000,-37.300000,-59.800000,-0.640000,0.591000,0.994000,cross
-10.902000,-82.932000,49.140000,13.000000,-38.400000,-59.400000,-0.583000,0.620000,0.974000,cross
-8.575000,-87.762000,41.632000,13.000000,-36.400000,-59.400000,-0.535000,0.596000,0.999000,cross
-4.322000,-93.450000,38.115000,13.500000,-37.800000,-58.300000,-0.469000,0.530000,1.161000,cross
-1.172000,-94.727000,38.080000,14.500000,-37.900000,-57.900000,-0.491000,0.363000,1.124000,cross
2.415000,-90.422000,49.490000,15.400000,-37.300000,-57.600000,-0.461000,0.293000,1.390000,cross
4.357000,-76.072000,58.537000,15.600000,-37.200000,-57.100000,-0.515000,0.320000,1.295000,cross
0.262000,-64.400000,57.382000,16.500000,-37.300000,-57.000000,-0.584000,0.498000,1.082000,cross
-9.310000,-66.342000,49.262000,16.900000,-37.000000,-56.800000,-0.595000,0.559000,0.974000,cross
-19.197000,-67.270000,37.572000,17.200000,-37.300000,-55.500000,-0.553000,0.605000,0.953000,cross
-24.150000,-68.967000,22.470000,17.700000,-36.600000,-55.800000,-0.474000,0.551000,0.921000,cross
-20.842000,-72.117000,11.812000,18.400000,-36.900000,-55.300000,-0.385000,0.428000,0.999000,cross
-12.250000,-70.175000,9.835000,19.600000,-36.300000,-54.700000,-0.332000,0.297000,1.168000,cross
-4.882000,-66.780000,16.310000,19.500000,-36.700000,-54.000000,-0.363000,0.171000,1.248000,cross
-2.380000,-54.075000,39.322000,20.200000,-36.100000,-53.500000,-0.482000,0.099000,1.495000,cross
-17.517000,-46.725000,47.040000,20.400000,-36.100000,-52.800000,-0.577000,0.217000,1.495000,cross
-39.025000,-41.632000,45.920000,22.000000,-35.500000,-52.200000,-0.683000,0.403000,1.424000,cross
-59.500000,-37.835000,36.890000,22.000000,-34.900000,-52.200000,-0.729000,0.563000,1.298000,cross
-70.490000,-35.140000,23.152000,22.800000,-36.000000,-52.200000,-0.676000,0.709000,1.194000,cross
-72.135000,-32.165000,8.452000,23.100000,-35.100000,-51.100000,-0.574000,0.830000,1.150000,cross
-66.062000,-29.330000,-5.057000,22.900000,-34.900000,-51.000000,-0.505000,0.872000,1.105000,cross
-37.730000,-28.962000,-19.092000,23.700000,-33.700000,-50.700000,-0.413000,0.744000,1.122000,cross
-24.255000,-28.385000,-17.745000,23.500000,-34.500000,-50.800000,-0.414000,0.673000,1.169000,cross
-15.085000,-28.647000,-15.995000,24.300000,-35.100000,-50.500000,-0.471000,0.677000,1.210000,cross
-10.937000,-28.962000,-19.092000,24.700000,-34.500000,-49.900000,-0.539000,0.691000,1.290000,cross
-10.675000,-26.792000,-25.847000,24.900000,-34.200000,-50.100000,-0.579000,0.633000,1.409000,cross
-13.160000,-20.335000,-30.922000,24.400000,-34.200000,-49.900000,-0.598000,0.525000,1.505000,cross
-15.925000,-10.482000,-32.865000,24.700000,-34.900000,-49.900000,-0.607000,0.474000,1.549000,cross
-16.765000,10.447000,-34.510000,25.000000,-34.800000,-49.600000,-0.575000,0.424000,1.543000,cross
-12.355000,20.615000,-33.057000,24.400000,-33.600000,-50.200000,-0.554000,0.389000,1.510000,cross
-5.477000,27.807000,-30.537000,24.400000,-34.300000,-49.500000,-0.539000,0.339000,1.426000,cross
2.765000,31.517000,-25.812000,23.800000,-33.300000,-50.700000,-0.520000,0.282000,1.403000,cross
10.342000,33.757000,-19.915000,24.000000,-34.300000,-51.900000,-0.507000,0.220000,1.376000,cross
14.892000,34.440000,-12.285000,23.100000,-33.900000,-51.900000,-0.504000,0.175000,1.354000,cross
15.697000,35.070000,-5.827000,23.200000,-33.700000,-51.400000,-0.515000,0.182000,1.334000,cross
11.392000,38.237000,-1.785000,22.300000,-33.600000,-53.500000,-0.501000,0.198000,1.319000,cross
6.790000,41.247000,-1.032000,22.000000,-35.100000,-53.400000,-0.494000,0.225000,1.300000,cross
1.137000,43.592000,-2.677000,21.700000,-33.600000,-54.400000,-0.500000,0.276000,1.280000,cross
-4.917000,43.855000,-7.892000,21.300000,-34.300000,-54.000000,-0.508000,0.312000,1.222000,cross
-9.117000,41.562000,-13.090000,21.100000,-34.000000,-54.700000,-0.492000,0.310000,1.249000,cross
-10.482000,42.245000,-17.430000,20.800000,-33.900000,-55.800000,-0.497000,0.270000,1.271000,cross
-9.257000,43.627000,-18.987000,19.900000,-33.700000,-55.300000,-0.533000,0.224000,1.293000,cross
-5.232000,51.152000,-20.055000,19.600000,-34.300000,-57.000000,-0.601000,0.190000,1.359000,cross
-3.465000,57.312000,-19.530000,19.000000,-33.700000,-57.700000,-0.602000,0.168000,1.396000,cross
-2.870000,62.947000,-17.710000,19.200000,-33.300000,-58.300000,-0.598000,0.148000,1.402000,cross
-3.202000,69.282000,-14.630000,17.800000,-34.500000,-58.200000,-0.574000,0.132000,1.412000,cross
-5.652000,76.160000,-10.867000,18.100000,-33.400000,-59.100000,-0.559000,0.158000,1.382000,cross
-8.890000,82.232000,-10.010000,16.500000,-34.000000,-59.700000,-0.553000,0.235000,1.322000,cross
-13.720000,86.870000,-12.897000,16.300000,-33.900000,-59.500000,-0.533000,0.307000,1.253000,cross
-23.905000,91.927000,-23.450000,16.200000,-34.200000,-61.000000,-0.486000,0.381000,1.092000,cross
-26.092000,92.172000,-29.452000,15.300000,-33.900000,-60.600000,-0.455000,0.405000,1.014000,cross
-25.655000,90.842000,-34.282000,13.600000,-34.300000,-61.800000,-0.411000,0.355000,0.972000,cross
-21.192000,89.635000,-34.107000,13.900000,-33.900000,-61.900000,-0.371000,0.261000,0.951000,cross
-13.772000,88.480000,-29.102000,12.900000,-34.200000,-62.500000,-0.362000,0.216000,0.899000,cross
-5.127000,86.047000,-23.747000,11.800000,-35.100000,-63.300000,-0.377000,0.238000,0.832000,cross
2.660000,83.230000,-21.070000,10.900000,-34.800000,-63.100000,-0.380000,0.272000,0.788000,cross
10.237000,79.047000,-18.235000,10.900000,-34.800000,-64.500000,-0.337000,0.217000,0.730000,cross
6.737000,76.947000,-14.840000,10.200000,-34.500000,-63.900000,-0.332000,0.185000,0.681000,cross
-0.822000,74.270000,-12.477000,10.200000,-34.300000,-65.200000,-0.347000,0.209000,0.600000,cross
-10.307000,70.192000,-14.682000,9.300000,-34.800000,-65.200000,-0.368000,0.286000,0.489000,cross
-18.655000,65.170000,-22.032000,7.600000,-34.800000,-64.800000,-0.361000,0.345000,0.398000,cross
-23.852000,60.287000,-30.240000,7.900000,-34.800000,-66.100000,-0.306000,0.322000,0.335000,cross
