@relation 'MLC'

@attribute F1_MEAN_ACC_Y numeric
@attribute F2_PEAK_TO_PEAK_GYR_Y numeric
@attribute F3_MAXIMUM_ACC_X numeric
@attribute F4_MINIMUM_GYR_Z numeric
@attribute F5_MINIMUM_ACC_X numeric
@attribute F6_ENERGY_ACC_Z numeric
@attribute F7_MEAN_ACC_Z numeric
@attribute F8_MAXIMUM_ACC_Y numeric
@attribute F9_PEAK_TO_PEAK_ACC_Y numeric
@attribute F10_MAXIMUM_GYR_Z numeric
@attribute F11_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F12_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F13_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F14_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F15_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F16_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F17_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F18_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F19_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F20_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F21_MAXIMUM_ACC_Z_FILTER_1 numeric
@attribute F22_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F23_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F24_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F25_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute class {waving, walking, wrist}

@data
0.762207, 1.02637, -0.135132, -0.218506, -0.890625, 1.19824, 0.0415039, 1.49512, 1.43555, 2.08398, 0.143433, 0.299316, 0.153442, -0.0100098, -0.0012207, 0.143433, 0.299316, 0.153442, -0.0012207, -0.0012207, 0.111633, 0.299316, 0.153442, -0.0100098, -0.0012207, waving
0.682617, 0.270508, -0.144165, -1.82813, -0.929688, 0.411133, 0.0240021, 1.37891, 1.29004, -0.378418, 0.0681152, 0.423828, 0.207642, -0.139526, -0.188354, 0.0681152, 0.423828, 0.207642, -0.188354, -0.188354, 0.124756, 0.423828, 0.207642, -0.139526, -0.188354, waving
-0.459229, 0.4729, -0.733398, -2.13867, -0.966797, 2.22656, 0.151367, 0.116089, 1.05957, 0.373535, 0.0794678, 0.497314, 0.126221, -0.0467529, -0.375732, 0.0794678, 0.497314, 0.126221, -0.375732, -0.375732, 0.0921021, 0.497314, 0.126221, -0.0467529, -0.375732, waving
-0.617188, 0.109863, -0.759277, -0.283203, -0.8125, 1.60645, 0.132446, -0.536133, 0.378418, 0.660645, 0.0230713, 0.224487, 0.0368652, -0.0137939, -0.19043, 0.0230713, 0.224487, 0.0368652, -0.19043, -0.19043, 0.0225677, 0.224487, 0.0368652, -0.0137939, -0.19043, waving
0.0278168, 0.327393, -0.595215, 0.746094, -0.893555, 0.513184, 0.0626831, 0.8125, 1.64746, 2.23047, 0.0997925, 0.396729, 0.143555, -0.0437012, -0.111938, 0.0997925, 0.396729, 0.143555, -0.111938, -0.111938, 0.0806885, 0.396729, 0.143555, -0.0437012, -0.111938, waving
0.996582, 0.880371, -0.126099, -2.01563, -0.65625, 0.765625, -0.00385857, 1.4043, 0.731934, 2.02148, 0.163086, 0.512695, 0.308105, -0.144897, -0.166016, 0.163086, 0.512695, 0.308105, -0.166016, -0.166016, 0.107544, 0.512695, 0.308105, -0.144897, -0.166016, waving
-0.202881, 0.715332, -0.67041, -2.32031, -0.902344, 4.87891, 0.219238, 0.666504, 1.55566, -0.111389, 0.0509033, 0.270264, 0.192505, -0.141602, -0.306641, 0.0509033, 0.270264, 0.192505, -0.306641, -0.306641, 0.169678, 0.270264, 0.192505, -0.141602, -0.306641, waving
-0.406738, 0.25, -0.674316, -0.0881958, -0.925781, 2.30078, 0.156372, 0.189087, 1.06738, 1.89063, 0.059082, 0.247437, 0.124329, -0.0652466, -0.0286865, 0.059082, 0.247437, 0.124329, -0.0286865, -0.0286865, 0.0483398, 0.247437, 0.124329, -0.0652466, -0.0286865, waving
0.910645, 0.524902, -0.235107, -1.25977, -0.806641, 1.41992, 0.108459, 1.31934, 1.12109, 2.25195, 0.121704, 0.414795, 0.151978, -0.0302734, -0.10144, 0.121704, 0.414795, 0.151978, -0.10144, -0.10144, 0.180908, 0.414795, 0.151978, -0.0302734, -0.10144, waving
0.444336, 0.276855, -0.316162, -1.95703, -0.907715, 1.64551, 0.123718, 1.00781, 1.19922, -1.29102, 0.0229492, 0.213135, 0.150635, -0.127686, -0.253906, 0.0229492, 0.213135, 0.150635, -0.253906, -0.253906, 0.0842285, 0.213135, 0.150635, -0.127686, -0.253906, waving
